Ticker,Name,Exchange,exchangeDisplay,Type,TypeDisplay
B,Barnes Group Inc.,NYQ,NYSE,S,Equity
BA,The Boeing Company,NYQ,NYSE,S,Equity
BMRA,"Biomerica, Inc.",NMS,NASDAQ,S,Equity
APRN,"Blue Apron Holdings, Inc.",NYS,NYSE,S,Equity
BAC,Bank of America Corporation,NYQ,NYSE,S,Equity
BP,BP p.l.c.,NYQ,NYSE,S,Equity
BABA,Alibaba Group Holding Limited,NYS,NYSE,S,Equity
BRK-B,Berkshire Hathaway Inc.,NYQ,NYSE,S,Equity
BNTX,BioNTech SE,NMS,NASDAQ,S,Equity
AVGO,Broadcom Inc.,NGM,NASDAQ,S,Equity
C,Citigroup Inc.,NYQ,NYSE,S,Equity
CLEU,China Liberal Education Holdings Limited,NCM,NASDAQ,S,Equity
CL,Colgate-Palmolive Company,NYQ,NYSE,S,Equity
CCL,Carnival Corporation & Plc,NYQ,NYSE,S,Equity
CODX,"Co-Diagnostics, Inc.",NGM,NASDAQ,S,Equity
CVX,Chevron Corporation,NYQ,NYSE,S,Equity
CSCO,"Cisco Systems, Inc.",NMS,NASDAQ,S,Equity
KO,The Coca-Cola Company,NYQ,NYSE,S,Equity
CHK,Chesapeake Energy Corporation,NYQ,NYSE,S,Equity
D,"Dominion Energy, Inc.",NYQ,NYSE,S,Equity
^DJI,Dow Jones Industrial Average,DJI,Dow Jones,I,Index
DAL,"Delta Air Lines, Inc.",NYQ,NYSE,S,Equity
DIS,The Walt Disney Company,NYQ,NYSE,S,Equity
JNUG,Direxion Daily Junior Gold Miners Index Bull 2X Shares,ASE,NYSE MKT,E,ETF
NUGT,Direxion Daily Gold Miners Index Bull 2X Shares,NYQ,NYSE,E,ETF
DOW,Dow Inc.,NYQ,NYSE,S,Equity
DECN,Decision Diagnostics Corp.,PNK,OTC Markets,S,Equity
PLAY,"Dave & Buster's Entertainment, Inc.",NGM,NASDAQ,S,Equity
DRI,"Darden Restaurants, Inc.",NYQ,NYSE,S,Equity
E,Eni S.p.A.,NYQ,NYSE,S,Equity
XOM,Exxon Mobil Corporation,NYQ,NYSE,S,Equity
ET,Energy Transfer LP,NYQ,NYSE,S,Equity
ES,Eversource Energy,NYQ,NYSE,S,Equity
EPD,Enterprise Products Partners L.P.,NYQ,NYSE,S,Equity
XLE,Energy Select Sector SPDR Fund,PCX,NYSEArca,E,ETF
ENPH,"Enphase Energy, Inc.",NGM,NASDAQ,S,Equity
EXAS,Exact Sciences Corporation,NGM,NASDAQ,S,Equity
ERX,Direxion Daily Energy Bull 2X Shares,NYQ,NYSE,E,ETF
EPR,EPR Properties,NYQ,NYSE,S,Equity
F,Ford Motor Company,NYQ,NYSE,S,Equity
FVACU,FORTRESS VALUE ACQUISITION CORP.,NYS,NYSE,S,Equity
FB,"Facebook, Inc.",NGM,NASDAQ,S,Equity
FDX,FedEx Corporation,NYQ,NYSE,S,Equity
FCEL,"FuelCell Energy, Inc.",NGM,NASDAQ,S,Equity
FCX,Freeport-McMoRan Inc.,NYQ,NYSE,S,Equity
FLR,Fluor Corporation,NYQ,NYSE,S,Equity
FAS,Direxion Daily Financial Bull 3X Shares,ASE,NYSE MKT,E,ETF
FUN,"Cedar Fair, L.P.",NYQ,NYSE,S,Equity
G,Genpact Limited,NYQ,NYSE,S,Equity
GILD,"Gilead Sciences, Inc.",NMS,NASDAQ,S,Equity
GE,General Electric Company,NYQ,NYSE,S,Equity
^GSPC,S&P 500,SNP,SNP,I,Index
GOOG,Alphabet Inc.,NGM,NASDAQ,S,Equity
GM,General Motors Company,NYQ,NYSE,S,Equity
GS,"The Goldman Sachs Group, Inc.",NYS,NYSE,S,Equity
GADS,"Gadsden Properties, Inc.",PNK,OTC Markets,S,Equity
GOOGL,Alphabet Inc.,NMS,NASDAQ,S,Equity
GLD,SPDR Gold Shares,NYQ,NYSE,E,ETF
H,Hyatt Hotels Corporation,NYQ,NYSE,S,Equity
HD,"The Home Depot, Inc.",NYQ,NYSE,S,Equity
HLT,Hilton Worldwide Holdings Inc.,NYS,NYSE,S,Equity
HAL,Halliburton Company,NYQ,NYSE,S,Equity
HON,Honeywell International Inc.,NYQ,NYSE,S,Equity
HTZ,"Hertz Global Holdings, Inc.",NYS,NYSE,S,Equity
HTBX,"Heat Biologics, Inc.",NMS,NASDAQ,S,Equity
HEXO,HEXO Corp.,ASE,NYSE MKT,S,Equity
HPQ,HP Inc.,NYQ,NYSE,S,Equity
I,Intelsat S.A.,NYQ,NYSE,S,Equity
INO,"Inovio Pharmaceuticals, Inc.",NMS,NASDAQ,S,Equity
QQQ,Invesco QQQ Trust,NGM,NASDAQ,E,ETF
INTC,Intel Corporation,NMS,NASDAQ,S,Equity
IBIO,"iBio, Inc.",NYQ,NYSE,S,Equity
IBM,International Business Machines Corporation,NYQ,NYSE,S,Equity
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN,NYQ,NYSE,E,ETF
^IXIC,NASDAQ Composite,NIM,NASDAQ GIDS,I,Index
SLV,iShares Silver Trust,NYQ,NYSE,E,ETF
TLT,iShares 20+ Year Treasury Bond ETF,NGM,NASDAQ,E,ETF
J,Jacobs Engineering Group Inc.,NMS,NASDAQ,S,Equity
JPM,JPMorgan Chase & Co.,NYQ,NYSE,S,Equity
JNJ,Johnson & Johnson,NYQ,NYSE,S,Equity
JBLU,JetBlue Airways Corporation,NMS,NASDAQ,S,Equity
JCP,"J. C. Penney Company, Inc.",NYQ,NYSE,S,Equity
JDST,Direxion Daily Junior Gold Miners Index Bear 2X Shares,NYQ,NYSE,E,ETF
JD,"JD.com, Inc.",NAS,NASDAQ,S,Equity
JETS,U.S. Global Jets ETF,ASE,NYSE MKT,E,ETF
JWN,"Nordstrom, Inc.",NYQ,NYSE,S,Equity
K,Kellogg Company,NYQ,NYSE,S,Equity
KROS,"Keros Therapeutics, Inc.",NGM,NASDAQ,S,Equity
KMI,"Kinder Morgan, Inc.",NYQ,NYSE,S,Equity
KR,The Kroger Co.,NYQ,NYSE,S,Equity
KHC,The Kraft Heinz Company,NMS,NASDAQ,S,Equity
KSS,Kohl's Corporation,NYQ,NYSE,S,Equity
KMB,Kimberly-Clark Corporation,NYQ,NYSE,S,Equity
KEY,KeyCorp,NYQ,NYSE,S,Equity
KL,Kirkland Lake Gold Ltd.,NMS,NASDAQ,S,Equity
L,Loews Corporation,NYQ,NYSE,S,Equity
LYRA,"LYRA THERAPEUTICS, INC.",NGM,NASDAQ,S,Equity
LUV,Southwest Airlines Co.,NYQ,NYSE,S,Equity
LYFT,"Lyft, Inc.",NMS,NASDAQ,S,Equity
LK,Luckin Coffee Inc.,NMS,NASDAQ,S,Equity
LMT,Lockheed Martin Corporation,NYQ,NYSE,S,Equity
LVS,Las Vegas Sands Corp.,NYQ,NYSE,S,Equity
LOW,"Lowe's Companies, Inc.",NYQ,NYSE,S,Equity
LYV,"Live Nation Entertainment, Inc.",NYQ,NYSE,S,Equity
LULU,Lululemon Athletica Inc.,NMS,NASDAQ,S,Equity
M,"Macy's, Inc.",NYQ,NYSE,S,Equity
MSFT,Microsoft Corporation,NAS,NASDAQ,S,Equity
MRNA,"Moderna, Inc.",NGM,NASDAQ,S,Equity
T,AT&T Inc.,NYQ,NYSE,S,Equity
MGM,MGM Resorts International,NYQ,NYSE,S,Equity
MCD,McDonald's Corporation,NYQ,NYSE,S,Equity
MU,"Micron Technology, Inc.",NMS,NASDAQ,S,Equity
MAR,"Marriott International, Inc.",NMS,NASDAQ,S,Equity
MMM,3M Company,NYQ,NYSE,S,Equity
MO,"Altria Group, Inc.",NYQ,NYSE,S,Equity
NVDA,NVIDIA Corporation,NGM,NASDAQ,S,Equity
NFLX,"Netflix, Inc.",NMS,NASDAQ,S,Equity
NIO,NIO Limited,NYS,NYSE,S,Equity
NVAX,"Novavax, Inc.",NMS,NASDAQ,S,Equity
NBY,"NovaBay Pharmaceuticals, Inc.",ASE,NYSE MKT,S,Equity
NCLH,Norwegian Cruise Line Holdings Ltd.,NMS,NASDAQ,S,Equity
NRZ,New Residential Investment Corp.,NYQ,NYSE,S,Equity
NLY,"Annaly Capital Management, Inc.",NYQ,NYSE,S,Equity
NOK,Nokia Corporation,NYQ,NYSE,S,Equity
O,Realty Income Corporation,NYQ,NYSE,S,Equity
ORIC,"ORIC Pharmaceuticals, Inc.",NMS,NASDAQ,S,Equity
OXY,Occidental Petroleum Corporation,NYQ,NYSE,S,Equity
OPK,"OPKO Health, Inc.",NMS,NASDAQ,S,Equity
OKE,"ONEOK, Inc.",NYQ,NYSE,S,Equity
OILU,ProShares UltraPro 3x Crude Oil ETF,NGM,NASDAQ,E,ETF
ORCL,Oracle Corporation,NMS,NASDAQ,S,Equity
OHI,"Omega Healthcare Investors, Inc.",NYQ,NYSE,S,Equity
OPGN,"OpGen, Inc.",NAS,NASDAQ,S,Equity
PFE,Pfizer Inc.,NYQ,NYSE,S,Equity
UVXY,ProShares Ultra VIX Short-Term Futures ETF,NYQ,NYSE,E,ETF
TQQQ,ProShares UltraPro QQQ,NGM,NASDAQ,E,ETF
PENN,"Penn National Gaming, Inc.",NMS,NASDAQ,S,Equity
PG,The Procter & Gamble Company,NYQ,NYSE,S,Equity
SQQQ,ProShares UltraPro Short QQQ,NGM,NASDAQ,E,ETF
PLUG,Plug Power Inc.,NMS,NASDAQ,S,Equity
PCG,PG&E Corporation,NYQ,NYSE,S,Equity
UCO,ProShares Ultra Bloomberg Crude Oil,PCX,NYSEArca,E,ETF
QCOM,QUALCOMM Incorporated,NMS,NASDAQ,S,Equity
QSR,Restaurant Brands International Inc.,NYQ,NYSE,S,Equity
DGX,Quest Diagnostics Incorporated,NYQ,NYSE,S,Equity
QD,Qudian Inc.,NYS,NYSE,S,Equity
QRVO,"Qorvo, Inc.",NMS,NASDAQ,S,Equity
QLD,ProShares Ultra QQQ,NYQ,NYSE,E,ETF
QID,ProShares UltraShort QQQ,NYQ,NYSE,E,ETF
QEP,"QEP Resources, Inc.",NYQ,NYSE,S,Equity
QGEN,QIAGEN N.V.,NYQ,NYSE,S,Equity
R,"Ryder System, Inc.",NYQ,NYSE,S,Equity
ROCHU,ROTH CH ACQUISITION I CO,NCM,NASDAQ,S,Equity
RCL,Royal Caribbean Cruises Ltd.,NYQ,NYSE,S,Equity
ROKU,"Roku, Inc.",NGM,NASDAQ,S,Equity
RAD,Rite Aid Corporation,NYQ,NYSE,S,Equity
RDS-B,Royal Dutch Shell plc,NYQ,NYSE,S,Equity
REGN,"Regeneron Pharmaceuticals, Inc.",NMS,NASDAQ,S,Equity
UTX,Raytheon Technologies Corporation,NYQ,NYSE,S,Equity
RDS-A,Royal Dutch Shell plc,NYQ,NYSE,S,Equity
S,Sprint Corporation,NYQ,NYSE,S,Equity
SPY,SPDR S&P 500 ETF Trust,NYQ,NYSE,E,ETF
SBUX,Starbucks Corporation,NMS,NASDAQ,S,Equity
SQ,"Square, Inc.",NYQ,NYSE,S,Equity
WORK,"Slack Technologies, Inc.",NYQ,NYSE,S,Equity
SHOP,Shopify Inc.,NYQ,NYSE,S,Equity
TSLA,"Tesla, Inc.",NAS,NASDAQ,S,Equity
TVIX,VelocityShares Daily 2x VIX Short-Term ETN,NGM,NASDAQ,E,ETF
TEVA,Teva Pharmaceutical Industries Limited,NYQ,NYSE,S,Equity
TLRY,"Tilray, Inc.",NMS,NASDAQ,S,Equity
TWTR,"Twitter, Inc.",NYS,NYSE,S,Equity
TDOC,"Teladoc Health, Inc.",NYS,NYSE,S,Equity
TTD,"The Trade Desk, Inc.",NGM,NASDAQ,S,Equity
UBER,"Uber Technologies, Inc.",NYS,NYSE,S,Equity
UAL,"United Airlines Holdings, Inc.",NMS,NASDAQ,S,Equity
UWT,VelocityShares 3x Long Crude Oil ETNs linked to the S&P GSCI Crude Oil Index ER New,NYQ,NYSE,E,ETF
USO,"United States Oil Fund, LP",NYQ,NYSE,E,ETF
UPS,"United Parcel Service, Inc.",NYQ,NYSE,S,Equity
X,United States Steel Corporation,NYQ,NYSE,S,Equity
UNH,UnitedHealth Group Incorporated,NYQ,NYSE,S,Equity
V,Visa Inc.,NYQ,NYSE,S,Equity
VZ,Verizon Communications Inc.,NYQ,NYSE,S,Equity
VXRT,"Vaxart, Inc.",NMS,NASDAQ,S,Equity
VOO,Vanguard S&P 500 ETF,ASE,NYSE MKT,E,ETF
VTI,Vanguard Total Stock Market Index Fund ETF Shares,NYQ,NYSE,E,ETF
^VIX,CBOE Volatility Index,WCB,Chicago Board Options Exchange,I,Index
W,Wayfair Inc.,NYQ,NYSE,S,Equity
WIMI,WiMi Hologram Cloud Inc.,NGM,NASDAQ,S,Equity
WTRH,Waitr Holdings Inc.,NMS,NASDAQ,S,Equity
WMT,Walmart Inc.,NYQ,NYSE,S,Equity
WFC,Wells Fargo & Company,NYQ,NYSE,S,Equity
WYNN,"Wynn Resorts, Limited",NMS,NASDAQ,S,Equity
WEN,The Wendy's Company,NMS,NASDAQ,S,Equity
WBA,"Walgreens Boots Alliance, Inc.",NMS,NASDAQ,S,Equity
XLK,Technology Select Sector SPDR Fund,NYQ,NYSE,E,ETF
XLF,Financial Select Sector SPDR Fund,NYQ,NYSE,E,ETF
XOP,SPDR S&P Oil & Gas Exploration & Production ETF,NYQ,NYSE,E,ETF
XLU,Utilities Select Sector SPDR Fund,NYQ,NYSE,E,ETF
XPO,"XPO Logistics, Inc.",NYQ,NYSE,S,Equity
XLNX,"Xilinx, Inc.",NMS,NASDAQ,S,Equity
Y,Alleghany Corporation,NYQ,NYSE,S,Equity
AUY,Yamana Gold Inc.,NYQ,NYSE,S,Equity
YUM,"Yum! Brands, Inc.",NYQ,NYSE,S,Equity
YPF,YPF Sociedad Anonima,NYQ,NYSE,S,Equity
YY,JOYY Inc.,NMS,NASDAQ,S,Equity
YELP,Yelp Inc.,NYQ,NYSE,S,Equity
YINN,Direxion Daily FTSE China Bull 3X Shares,NYQ,NYSE,E,ETF
YRCW,YRC Worldwide Inc.,NMS,NASDAQ,S,Equity
YNDX,Yandex N.V.,NMS,NASDAQ,S,Equity
YETI,"YETI Holdings, Inc.",NYS,NYSE,S,Equity
Z,"Zillow Group, Inc.",NAS,NASDAQ,S,Equity
ZNTL,"Zentalis Pharmaceuticals, LLC",NGM,NASDAQ,S,Equity
ZM,"Zoom Video Communications, Inc.",NMS,NASDAQ,S,Equity
ZOOM,"ZOOM Technologies, Inc.",PNK,OTC Markets,S,Equity
ZS,"Zscaler, Inc.",NMS,NASDAQ,S,Equity
ZNGA,Zynga Inc.,NMS,NASDAQ,S,Equity
ZSAN,Zosano Pharma Corporation,NMS,NASDAQ,S,Equity
ZTS,Zoetis Inc.,NYS,NYSE,S,Equity
ZUO,"Zuora, Inc.",NYS,NYSE,S,Equity
GOLD,Barrick Gold Corporation,NMS,NASDAQ,S,Equity
BIDU,"Baidu, Inc.",NMS,NASDAQ,S,Equity
BAYRY,Bayer Aktiengesellschaft,PNK,OTC Markets,S,Equity
BLDP,Ballard Power Systems Inc.,NGM,NASDAQ,S,Equity
BHC,Bausch Health Companies Inc.,NMS,NASDAQ,S,Equity
BK,The Bank of New York Mellon Corporation,NYQ,NYSE,S,Equity
BB,BlackBerry Limited,NYQ,NYSE,S,Equity
BBBY,Bed Bath & Beyond Inc.,NMS,NASDAQ,S,Equity
BBY,"Best Buy Co., Inc.",NYQ,NYSE,S,Equity
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",NYQ,NYSE,S,Equity
BBQ,"BBQ Holdings, Inc.",NMS,NASDAQ,S,Equity
BBN,BlackRock Taxable Municipal Bond Trust,NYS,NYSE,S,Equity
BBC,Virtus LifeSci Biotech Clinical Trials ETF,NGM,NASDAQ,E,ETF
BBD,Banco Bradesco S.A.,NYQ,NYSE,S,Equity
BBAR,Banco BBVA Argentina S.A.,NYQ,NYSE,S,Equity
BC,Brunswick Corporation,NYQ,NYSE,S,Equity
BCRX,"BioCryst Pharmaceuticals, Inc.",NMS,NASDAQ,S,Equity
BCS,Barclays PLC,NYQ,NYSE,S,Equity
BCLI,Brainstorm Cell Therapeutics Inc.,OBB,OTC BB,S,Equity
BCE,BCE Inc.,NYQ,NYSE,S,Equity
BCO,The Brink's Company,NYQ,NYSE,S,Equity
BCPC,Balchem Corporation,NMS,NASDAQ,S,Equity
BCSF,"Bain Capital Specialty Finance, Inc.",NYQ,NYSE,S,Equity
BCOR,"Blucora, Inc.",NMS,NASDAQ,S,Equity
BDX,"Becton, Dickinson and Company",NYQ,NYSE,S,Equity
BDCL,UBS ETRACS 2xLeveraged Long Wells Fargo Business Development Company Index ETN,NYQ,NYSE,E,ETF
BDSI,"BioDelivery Sciences International, Inc.",NMS,NASDAQ,S,Equity
BDRBF,Bombardier Inc.,PNK,OTC Markets,S,Equity
BDJ,BlackRock Enhanced Equity Dividend Trust,NYQ,NYSE,S,Equity
BDC,Belden Inc.,NYQ,NYSE,S,Equity
BDN,Brandywine Realty Trust,NYQ,NYSE,S,Equity
BDTX,"Black Diamond Therapeutics, Inc.",NGM,NASDAQ,S,Equity
BDRY,Breakwave Dry Bulk Shipping ETF,ASE,NYSE MKT,E,ETF
BDCS,UBS ETRACS Linked to the Wells Fargo Business Development Company Index ETN,ASE,NYSE MKT,E,ETF
BE,Bloom Energy Corporation,NYS,NYSE,S,Equity
BYND,"Beyond Meat, Inc.",NMS,NASDAQ,S,Equity
BRK-A,Berkshire Hathaway Inc.,NYQ,NYSE,S,Equity
BRKB,Berkshire Hathaway Inc.,NYQ,NYSE,S,Equity
BLPH,"Bellerophon Therapeutics, Inc.",NGM,NASDAQ,S,Equity
BFYT,"Benefytt Technologies, Inc.",NGM,NASDAQ,S,Equity
BFAM,Bright Horizons Family Solutions Inc.,NYQ,NYSE,S,Equity
BF-B,Brown-Forman Corporation,NYQ,NYSE,S,Equity
BFB,Brown-Forman Corporation,NYQ,NYSE,S,Equity
BFST,"Business First Bancshares, Inc.",NMS,NASDAQ,S,Equity
BFOCX,Berkshire Focus Fund,NAS,NASDAQ,M,Fund
BFS,"Saul Centers, Inc.",NYQ,NYSE,S,Equity
BFK,BlackRock Municipal Income Trust,NYQ,NYSE,S,Equity
BFC,Bank First Corporation,NMS,NASDAQ,S,Equity
BF-A,Brown-Forman Corporation,NYQ,NYSE,S,Equity
BG,Bunge Limited,NYS,NYSE,S,Equity
BGS,"B&G Foods, Inc.",NYQ,NYSE,S,Equity
BGCP,"BGC Partners, Inc.",NMS,NASDAQ,S,Equity
BGG,Briggs & Stratton Corporation,NYQ,NYSE,S,Equity
BGFV,Big 5 Sporting Goods Corporation,NMS,NASDAQ,S,Equity
BGNE,"BeiGene, Ltd.",NGM,NASDAQ,S,Equity
BGR,BlackRock Energy and Resources Trust,NYQ,NYSE,S,Equity
BGSF,"BG Staffing, Inc.",OBB,OTC BB,S,Equity
BGB,Blackstone/GSO Strategic Credit Fund,NYS,NYSE,S,Equity
BH,Biglari Holdings Inc.,NYQ,NYSE,S,Equity
BHP,BHP Group,NYQ,NYSE,S,Equity
BHF,"Brighthouse Financial, Inc.",NMS,NASDAQ,S,Equity
BHR,"Braemar Hotels & Resorts, Inc.",NMS,NASDAQ,S,Equity
BHVN,Biohaven Pharmaceutical Holding Company Ltd.,NYS,NYSE,S,Equity
BBL,BHP Group,NYQ,NYSE,S,Equity
BHE,"Benchmark Electronics, Inc.",NYQ,NYSE,S,Equity
BHLB,"Berkshire Hills Bancorp, Inc.",NYQ,NYSE,S,Equity
BIIB,Biogen Inc.,NMS,NASDAQ,S,Equity
BIOC,"Biocept, Inc.",NGM,NASDAQ,S,Equity
BILI,Bilibili Inc.,NGM,NASDAQ,S,Equity
BIG,"Big Lots, Inc.",NYQ,NYSE,S,Equity
BIP,Brookfield Infrastructure Partners L.P.,NYQ,NYSE,S,Equity
BNGO,"Bionano Genomics, Inc.",NGM,NASDAQ,S,Equity
BJ,"BJ's Wholesale Club Holdings, Inc.",NYS,NYSE,S,Equity
BJRI,"BJ's Restaurants, Inc.",NMS,NASDAQ,S,Equity
BJK,VanEck Vectors Gaming ETF,NGM,NASDAQ,E,ETF
BJWTF,Beijing Enterprises Water Group Limited,PNK,OTC Markets,S,Equity
BJUL,Innovator S&P 500 Buffer ETF – July,NYQ,NYSE,E,ETF
BJCHF,Beijing Capital International Airport Company Limited,PNK,OTC Markets,S,Equity
BJAN,Innovator S&P 500 Buffer ETF January,NYQ,NYSE,E,ETF
BJBHX,Aberdeen Global High Income Fund Class A,NAS,NASDAQ,M,Fund
BJUN,Innovator S&P 500 Buffer ETF - June,NYQ,NYSE,E,ETF
BKNG,Booking Holdings Inc.,NMS,NASDAQ,S,Equity
BKR,Baker Hughes Company,NYQ,NYSE,S,Equity
BKCC,BlackRock Capital Investment Corporation,NGM,NASDAQ,S,Equity
BKYI,"BIO-key International, Inc.",NMS,NASDAQ,S,Equity
BKD,Brookdale Senior Living Inc.,NYQ,NYSE,S,Equity
BKLN,Invesco Senior Loan ETF,NYQ,NYSE,E,ETF
BKH,Black Hills Corporation,NYQ,NYSE,S,Equity
BKE,"The Buckle, Inc.",NYQ,NYSE,S,Equity
BL,"BlackLine, Inc.",NGM,NASDAQ,S,Equity
BX,The Blackstone Group Inc.,NYQ,NYSE,S,Equity
BLK,"BlackRock, Inc.",NYQ,NYSE,S,Equity
BXMT,"Blackstone Mortgage Trust, Inc.",NYQ,NYSE,S,Equity
BLUE,"bluebird bio, Inc.",NMS,NASDAQ,S,Equity
BMY,Bristol-Myers Squibb Company,NYQ,NYSE,S,Equity
BMO,Bank of Montreal,NYQ,NYSE,S,Equity
BMRN,BioMarin Pharmaceutical Inc.,NMS,NASDAQ,S,Equity
BMA,Banco Macro S.A.,NYS,NYSE,S,Equity
BMWYY,Bayerische Motoren Werke Aktiengesellschaft,PNK,OTC Markets,S,Equity
BML-PG,Bank of America Corporation,NYQ,NYSE,S,Equity
BME,BlackRock Health Sciences Trust,NYQ,NYSE,S,Equity
BMEZ,BlackRock Health Sciences Trust II,NYQ,NYSE,S,Equity
BMCH,"BMC Stock Holdings, Inc.",NMS,NASDAQ,S,Equity
BND,Vanguard Total Bond Market Index Fund ETF Shares,NGM,NASDAQ,E,ETF
BNS,The Bank of Nova Scotia,NYQ,NYSE,S,Equity
BNO,"United States Brent Oil Fund, LP",NYQ,NYSE,E,ETF
BNDX,Vanguard Total International Bond Index Fund ETF Shares,NGM,NASDAQ,E,ETF
BNFT,"Benefitfocus, Inc.",NGM,NASDAQ,S,Equity
BNED,"Barnes & Noble Education, Inc.",NYQ,NYSE,S,Equity
BNTC,Benitec Biopharma Inc.,NMS,NASDAQ,S,Equity
BNPQY,BNP Paribas SA,PNK,OTC Markets,S,Equity
BYD,Boyd Gaming Corporation,NYQ,NYSE,S,Equity
BSX,Boston Scientific Corporation,NYQ,NYSE,S,Equity
BOX,"Box, Inc.",NYQ,NYSE,S,Equity
BXP,"Boston Properties, Inc.",NYQ,NYSE,S,Equity
BOTZ,Global X Robotics & Artificial Intelligence ETF,NGM,NASDAQ,E,ETF
BAH,Booz Allen Hamilton Holding Corporation,NYQ,NYSE,S,Equity
SAM,"The Boston Beer Company, Inc.",NYQ,NYSE,S,Equity
BWA,BorgWarner Inc.,NYQ,NYSE,S,Equity
BPY,Brookfield Property Partners L.P.,NMS,NASDAQ,S,Equity
BPT,BP Prudhoe Bay Royalty Trust,NYQ,NYSE,S,Equity
BPTH,"Bio-Path Holdings, Inc.",NMS,NASDAQ,S,Equity
BPYU,Brookfield Property REIT Inc.,NMS,NASDAQ,S,Equity
BPOP,"Popular, Inc.",NMS,NASDAQ,S,Equity
BPMC,Blueprint Medicines Corporation,NMS,NASDAQ,S,Equity
BPMX,BioPharmX Corporation,OBB,OTC BB,S,Equity
BPMP,BP Midstream Partners LP,NYS,NYSE,S,Equity
BQH,BlackRock New York Municipal Bond Trust,NYQ,NYSE,S,Equity
BQMGX,Bright Rock Mid Cap Growth Fund Institutional Class,NAS,NASDAQ,M,Fund
BQLCX,Bright Rock Quality Large Cap Fund Institutional Class,NAS,NASDAQ,M,Fund
BQLIX,Trust for Professional Managers - Bright Rock Quality Large Cap Fund,NAS,NASDAQ,M,Fund
BQMIX,Trust for Professional Managers - Bright Rock Mid Cap Growth Fund,NAS,NASDAQ,M,Fund
BQCNF,Banque Cantonale Vaudoise,PNK,OTC Markets,S,Equity
BQI RT,OILSANDS QUEST INC.,ASE,NYSE MKT,S,Equity
BQI RT WI,** SEE<BQI RT>,ASE,NYSE MKT,S,Equity
BQAD.IL,BANK AUDI S.A.L. GDR(REPR 1'COM,IOB,International Orderbook - London,S,Equity
BQE.V,BQE Water Inc.,YHD,Industry,S,Equity
BR,"Broadridge Financial Solutions, Inc.",NYQ,NYSE,S,Equity
EAT,"Brinker International, Inc.",NYQ,NYSE,S,Equity
BRZU,Direxion Daily MSCI Brazil Bull 2X Shares,ASE,NYSE MKT,E,ETF
BTI,British American Tobacco p.l.c.,NYQ,NYSE,S,Equity
BAM,Brookfield Asset Management Inc.,NYQ,NYSE,S,Equity
BSM,"Black Stone Minerals, L.P.",NYQ,NYSE,S,Equity
BSV,Vanguard Short-Term Bond Index Fund ETF Shares,NYQ,NYSE,E,ETF
BSGM,"BioSig Technologies, Inc.",PNK,OTC Markets,S,Equity
BST,BlackRock Science and Technology Trust,NYS,NYSE,S,Equity
BSMX,"Banco Santander Mexico, S.A., Institucion de Banca Multiple, Grupo Financiero Santander Mexico",NYQ,NYSE,S,Equity
BSTZ,BlackRock Science and Technology Trust II,NYQ,NYSE,S,Equity
BSET,"Bassett Furniture Industries, Incorporated",NMS,NASDAQ,S,Equity
BSTC,BioSpecifics Technologies Corp.,NGM,NASDAQ,S,Equity
BSIIX,BlackRock Strategic Income Opportunities Portfolio Institutional Shares,NAS,NASDAQ,M,Fund
BTG,B2Gold Corp.,NYQ,NYSE,S,Equity
BTE,Baytex Energy Corp.,NYQ,NYSE,S,Equity
BTAI,"BioXcel Therapeutics, Inc.",NMS,NASDAQ,S,Equity
BTU,Peabody Energy Corporation,NYQ,NYSE,S,Equity
BTSC,"Bitcoin Services, Inc.",PNK,OTC Markets,S,Equity
BTO,John Hancock Financial Opportunities Fund,NYQ,NYSE,S,Equity
BTZ,BlackRock Credit Allocation Income Trust,NYQ,NYSE,S,Equity
BTT,Blackrock Municipal 2030 Target Term Trust,NYS,NYSE,S,Equity
BTCY,"Biotricity, Inc.",PNK,OTC Markets,S,Equity
BUD,Anheuser-Busch InBev SA/NV,NYQ,NYSE,S,Equity
BURG,"Chanticleer Holdings, Inc.",NMS,NASDAQ,S,Equity
BURL,"Burlington Stores, Inc.",NYS,NYSE,S,Equity
BLDR,"Builders FirstSource, Inc.",NMS,NASDAQ,S,Equity
BUSE,First Busey Corporation,NMS,NASDAQ,S,Equity
BBW,"Build-A-Bear Workshop, Inc.",NYQ,NYSE,S,Equity
BUI,"BlackRock Utilities, Infrastructure & Power Opportunities Trust",NYS,NYSE,S,Equity
BV,"BrightView Holdings, Inc.",NYS,NYSE,S,Equity
BVXV,BiondVax Pharmaceuticals Ltd.,NMS,NASDAQ,S,Equity
BVN,Compania de Minas Buenaventura S.A.A.,NYQ,NYSE,S,Equity
BVSN,"BroadVision, Inc.",NGM,NASDAQ,S,Equity
BVNNF,BevCanna Enterprises Inc.,PNK,OTC Markets,S,Equity
BVTK,"Bravatek Solutions, Inc.",PNK,OTC Markets,S,Equity
BVAL,Brand Value ETF,ASE,NYSE MKT,E,ETF
^EMCLOUD,BVP Nasdaq Emerging Cloud Index,NIM,NASDAQ GIDS,I,Index
BVDIX,William Blair Small Cap Value Fund Class I,NAS,NASDAQ,M,Fund
BW,"Babcock & Wilcox Enterprises, Inc.",NYQ,NYSE,S,Equity
